agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total,actual_arson_single_occupancy,actual_arson_other_residential,actual_arson_storage,actual_arson_industrial,actual_arson_other_commercial,actual_arson_community_public,actual_arson_all_oth_structures,actual_arson_total_structures,actual_arson_motor_vehicles,actual_arson_other_mobile,actual_arson_total_mobile,actual_arson_all_other,actual_arson_grand_total,tot_clr_arson_single_occupancy,tot_clr_arson_other_residential,tot_clr_arson_storage,tot_clr_arson_industrial,tot_clr_arson_other_commercial,tot_clr_arson_community_public,tot_clr_arson_all_oth_structures,tot_clr_arson_total_structures,tot_clr_arson_motor_vehicles,tot_clr_arson_other_mobile,tot_clr_arson_total_mobile,tot_clr_arson_all_other,tot_clr_arson_grand_total,clr_18_arson_single_occupancy,clr_18_arson_other_residential,clr_18_arson_storage,clr_18_arson_industrial,clr_18_arson_other_commercial,clr_18_arson_community_public,clr_18_arson_all_oth_structures,clr_18_arson_total_structures,clr_18_arson_motor_vehicles,clr_18_arson_other_mobile,clr_18_arson_total_mobile,clr_18_arson_all_other,clr_18_arson_grand_total,unfound_arson_single_occupancy,unfound_arson_other_residential,unfound_arson_storage,unfound_arson_industrial,unfound_arson_other_commercial,unfound_arson_community_public,unfound_arson_all_oth_structures,unfound_arson_total_structures,unfound_arson_motor_vehicles,unfound_arson_other_mobile,unfound_arson_total_mobile,unfound_arson_all_other,unfound_arson_grand_total
Sp: Van Buren County,2020-11-01,Michigan,0,MI80080,0,0,0,0,0,2,2,0,1,1,0,0,0,18,1,1,0,0,16,3,3,0,0,2,3,0,3,0,29,2,5,8,13,0,0,0,0,0,0,0,0,0,0,13,1,0,0,1,11,2,2,0,0,1,0,0,0,0,16,2,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2020-10-01,Michigan,0,MI80080,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,11,4,4,0,0,5,2,2,0,0,23,1,1,11,12,0,0,1,1,0,0,0,0,0,0,12,1,0,0,1,10,0,0,0,0,2,3,3,0,0,19,2,3,6,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2020-09-01,Michigan,0,MI80080,0,0,0,2,0,1,1,0,0,0,0,0,0,11,0,0,0,1,10,2,2,0,0,18,4,3,0,1,39,1,4,25,29,0,0,1,1,0,0,0,0,0,0,12,0,0,1,1,10,1,0,0,1,1,2,1,0,1,17,2,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2020-08-01,Michigan,0,MI80080,0,0,0,0,0,1,1,0,0,0,0,0,0,33,1,2,2,1,27,7,7,0,0,8,1,1,0,0,50,6,7,16,23,0,0,1,1,0,0,0,0,0,0,18,1,0,2,0,15,2,2,0,0,3,1,1,0,0,25,3,4,6,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2020-07-01,Michigan,0,MI80080,0,0,0,0,0,2,2,0,0,0,0,0,0,24,2,0,0,1,21,2,2,0,0,3,3,1,0,2,34,3,5,8,13,0,0,2,2,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,1,0,0,0,0,16,0,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2020-06-01,Michigan,0,MI80080,0,0,0,0,0,2,2,0,0,0,0,0,0,14,0,0,0,0,14,1,1,0,0,5,2,2,0,0,24,0,2,8,10,0,0,1,1,0,0,0,0,0,0,14,0,0,0,2,12,1,1,0,0,4,1,1,0,0,21,2,3,6,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2020-05-01,Michigan,0,MI80080,0,0,0,0,0,3,3,0,0,0,0,0,0,28,0,1,2,4,21,2,2,0,0,2,1,1,0,0,36,7,10,5,15,0,0,1,1,0,0,0,0,0,0,18,0,1,2,1,14,1,1,0,0,0,0,0,0,0,20,4,5,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2020-04-01,Michigan,0,MI80080,0,0,0,0,0,1,1,0,0,0,0,0,0,16,0,3,2,0,11,4,4,0,0,7,3,3,0,0,32,5,6,15,21,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,7,1,1,0,0,2,2,2,0,0,14,2,2,5,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2020-03-01,Michigan,0,MI80080,0,0,0,0,0,1,1,0,0,0,0,0,0,11,0,0,2,0,9,3,3,0,0,6,0,0,0,0,23,2,3,11,14,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,9,4,4,0,0,2,0,0,0,0,16,1,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2020-02-01,Michigan,0,MI80080,0,0,0,0,0,0,0,0,1,1,0,0,0,15,0,0,1,1,13,2,2,0,0,5,0,0,0,0,23,2,3,7,10,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,6,0,0,0,0,0,0,0,0,0,8,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2020-01-01,Michigan,0,MI80080,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,1,17,1,1,0,0,9,1,1,0,0,30,2,2,11,13,0,0,2,2,0,0,0,0,0,0,21,0,0,1,0,20,0,0,0,0,0,1,1,0,0,24,1,3,1,4,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2019-12-01,Michigan,0,MI80080,0,0,0,0,0,1,1,0,0,0,0,0,0,17,0,0,0,0,17,3,3,0,0,6,1,0,0,1,29,0,1,11,12,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0,10,1,1,0,0,1,0,0,0,0,13,0,1,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2019-11-01,Michigan,0,MI80080,0,0,0,0,0,4,4,0,0,0,0,0,0,21,2,0,0,1,18,3,3,0,0,5,2,2,0,0,35,3,7,10,17,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,13,0,0,0,0,1,2,2,0,0,17,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2019-10-01,Michigan,0,MI80080,0,0,0,0,0,2,2,0,0,0,0,0,0,26,6,0,0,1,19,9,8,1,0,4,3,3,0,0,44,7,9,16,25,0,0,1,1,0,0,0,0,0,0,21,4,0,0,1,16,2,2,0,0,0,2,2,0,0,26,5,6,4,10,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,3,0,0,0,0,0,1,1,0,0,7,3,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2019-09-01,Michigan,0,MI80080,0,0,0,0,0,4,4,0,0,0,0,0,0,8,0,0,0,0,8,3,3,0,0,6,0,0,0,0,21,0,4,9,13,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,1,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2019-08-01,Michigan,0,MI80080,0,0,0,0,0,1,1,0,0,0,0,0,0,17,2,0,0,0,15,5,5,0,0,5,4,3,0,1,32,2,3,14,17,0,0,1,1,0,1,1,0,0,0,12,0,0,1,0,11,0,0,0,0,2,1,0,0,1,17,1,3,3,6,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2019-07-01,Michigan,0,MI80080,0,0,0,0,0,1,1,0,0,0,0,0,0,35,0,0,2,2,31,6,5,0,1,3,2,1,0,1,47,4,5,11,16,0,0,0,0,0,0,0,0,0,0,29,0,0,1,3,25,3,3,0,0,2,0,0,0,0,34,4,4,5,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2019-06-01,Michigan,0,MI80080,0,0,0,0,0,3,3,0,0,0,0,0,0,21,1,0,3,1,16,7,7,0,0,10,2,1,1,0,44,5,8,20,28,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,5,3,3,0,0,2,1,0,1,0,13,2,2,6,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2019-05-01,Michigan,0,MI80080,0,0,0,0,0,2,2,0,0,0,0,0,0,24,1,2,3,0,18,7,7,0,0,5,1,1,0,0,39,6,8,13,21,0,0,2,2,0,0,0,0,0,0,28,0,2,2,1,23,3,3,0,0,4,0,0,0,0,37,5,7,7,14,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2019-04-01,Michigan,0,MI80080,0,0,0,0,0,9,9,0,0,0,0,0,0,22,1,0,0,0,21,5,5,0,0,6,3,3,0,0,45,1,10,14,24,0,0,1,1,0,0,0,0,0,0,18,0,0,0,0,18,1,1,0,0,2,1,1,0,0,23,0,1,4,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2019-03-01,Michigan,0,MI80080,0,0,0,0,0,4,4,0,0,0,0,0,0,20,0,0,1,0,19,5,5,0,0,4,2,2,0,0,35,1,5,11,16,0,1,1,1,0,0,0,0,0,0,13,0,0,0,0,13,3,3,0,0,1,0,0,0,0,19,0,1,4,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2019-02-01,Michigan,0,MI80080,0,0,0,0,0,4,4,0,0,0,0,0,0,22,0,0,0,1,21,1,1,0,0,5,0,0,0,0,32,1,5,6,11,0,0,4,4,0,0,0,0,0,0,22,0,0,0,0,22,1,1,0,0,1,0,0,0,0,28,0,4,2,6,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2019-01-01,Michigan,0,MI80080,0,0,0,0,0,1,1,0,0,0,0,0,0,19,0,1,0,2,16,3,3,0,0,6,1,1,0,0,30,3,4,10,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,5,1,1,0,0,3,0,0,0,0,10,1,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2018-12-01,Michigan,0,MI80080,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,5,5,0,0,2,0,0,0,0,23,0,0,7,7,0,0,0,0,0,0,0,0,0,0,13,1,0,1,0,11,1,1,0,0,1,0,0,0,0,15,2,2,2,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2018-11-01,Michigan,0,MI80080,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,1,0,13,5,5,0,0,4,1,1,0,0,25,2,2,10,12,0,0,0,0,0,0,0,0,0,0,11,1,0,0,1,9,3,3,0,0,4,2,2,0,0,20,2,2,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2018-10-01,Michigan,0,MI80080,0,0,0,0,0,2,2,0,0,0,0,0,0,34,1,1,1,4,27,9,9,0,0,9,0,0,0,0,54,7,9,18,27,0,0,0,0,0,0,0,0,0,0,34,1,1,1,4,27,0,0,0,0,2,1,0,0,1,37,7,7,3,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2018-09-01,Michigan,0,MI80080,0,0,0,1,0,1,1,0,0,0,0,0,0,19,2,0,0,0,17,6,6,0,0,10,0,0,0,0,37,2,4,16,20,1,0,0,0,0,0,0,0,0,0,17,2,0,2,0,13,3,3,0,0,4,2,2,0,0,27,4,5,9,14,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2018-08-01,Michigan,0,MI80080,0,0,0,0,0,1,1,0,0,0,0,0,0,26,0,5,2,1,18,5,5,0,0,8,2,2,0,0,42,8,9,15,24,0,0,0,0,0,0,0,0,0,0,21,0,5,0,0,16,2,2,0,0,2,2,2,0,0,27,5,5,6,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2018-07-01,Michigan,0,MI80080,0,0,0,0,0,2,2,0,1,1,0,0,0,34,1,0,6,0,27,5,5,0,0,9,3,3,0,0,54,7,10,17,27,0,0,2,1,0,0,0,0,0,0,24,1,0,2,0,21,2,2,0,0,3,0,0,0,0,31,3,5,5,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2018-06-01,Michigan,0,MI80080,0,0,0,0,0,1,1,0,0,0,0,0,0,16,0,0,1,2,13,4,4,0,0,16,4,4,0,0,41,3,4,24,28,0,0,1,1,0,0,0,0,0,0,23,0,0,2,3,18,2,2,0,0,5,0,0,0,0,31,5,6,7,13,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Van Buren County,2018-05-01,Michigan,0,MI80080,0,0,0,0,0,1,1,0,0,0,0,0,0,19,0,0,0,0,19,3,3,0,0,7,2,1,0,1,32,0,1,12,13,0,0,0,0,0,0,0,0,0,0,21,1,1,0,0,19,0,0,0,0,2,0,0,0,0,23,2,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
